"38796089","Grzegorz","Najlepszy powerbank. Świetny design, rewelacyjne wykonanie, świetne ogniwa 18650 Sanyo bądź samsunga. Do tego dobra cena.","","","5/5","Polecam","11","4"
"38796089","mila","zgrabny, dobrze wykonany, diody pokazujące poziom naładowania, minus instrukcja po chińsku, ale na necie jest dostępna wersja po polsku,","","","5/5","Polecam","11","2"
"38796089","Anonimowy","Tani i solidny PB. Uratował już niejedną baterię na wyjeździe. W codziennym życiu (ze srajfonami) oczywiście też jak najbardziej się przydaje.","cena, pojemność, sprawność ładowania, wygląd, ","","5/5","Polecam","10","2"
"38796089","Marcin","Wytrzymaly, dlugo trzyma. Może naładować telefon Sony Xperia Z1 2,5 raza przy jednym ladowaniu powerbanku. Polecam.","","","5/5","Polecam","6","1"
"38796089","Paweł B.","Świetny mały, wytrzymały power bank. na uwagę szczególnie zasługuje aluminiowa obudowa. Przestrzegam przed podróbkami na najpopularniejszej platformie zakupowej w Polsce! Zamówiłem powerbank w cenie 69 zł (niby wietrzenie magazynów) i okazało się, że nr seryjny spod zdrapki był sprawdzany przede mną ponad 30 000 razy. Po zakupie w partnerskim sklepie xiaomi o tym problemie nie było mowy.","cena, małe gabaryty jak na taką pojemność, mocna aluminiowa obudowa, oryginalny!, sprawność ładowania, wygląd, ","","5/5","Polecam","3","0"
"38796089","Użytkownik Ceneo","Ładuje szybko, jest niedrogi i bardzo dobrze wykonany. mogę nim naładować 3 razy Samsung Galaxy S5 NEO","cena, mały, sprawność ładowania, wygląd, ","","5/5","Polecam","3","1"
"38796089","An","Produkt zgodny z opisem. Chciałam zamówić kolor złoty, jednak tylko srebrny jest 10 zł tańszy, nie wiedzieć czemu... jedyny minus to waga i grubość powerbanka. Chodząc z podłączonym telefonem jest to trochę trudne żeby trzymać obie rzeczy w jednej ręce.","cena, sprawność ładowania, wygląd, ","waga, ","4/5","Polecam","3","2"
"38796089","Jacek","super","cena, sprawność ładowania, wygląd, ","","5/5","Polecam","2","1"
"38796089","Maciek","Wszystko OK","cena, sprawność ładowania, wygląd, ","","4,5/5","Polecam","2","1"
"38796089","Patryk","Nie mam zastrzeżeń","cena, sprawność ładowania, wygląd, ","","5/5","Polecam","2","2"
